stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
550,550,"Rt68 @ Moose NB",,40.827424,-80.010091,,,0,,0
551,551,"Rt 68 at Constitution Ave NB",,40.818387,-80.010192,,,0,,0
552,552,"Rt68 at Reibold NB",,40.808398,-80.014999,,,0,,0
553,553,"Rt68 at Ash Stop Rd NB",,40.786483,-80.034632,,,0,,0
554,554,"Rt68 at Ash Ave NB",,40.774034,-80.054278,,,0,,0
555,555,"Jackson St. NB",,40.769353,-80.061597,,,0,,0
556,556,"Edco Park NB",,40.769082,-80.06626,,,0,,0
557,557,"Rt68 at Meridian NB",,40.862148,-79.967789,,,0,,0
57,57,"Butler Arbors Apartments",,40.85572,-79.885989,,,0,,0
59,59,"Kaufman and Zeigler Dr",,40.854103,-79.88169,,,0,,0
6,6,"Penn and Washington St.",,40.865099,-79.896754,,,0,,0
60,60,"Zeigler and Center",,40.854052,-79.88685,,,0,,0
61,61,"Center and Standard may also use Hickory",,40.853492,-79.886362,,,0,,0
62,62,"Center and South",,40.852453,-79.884764,,,0,,0
64,64,"Center and Wallula",,40.850384,-79.88146,,,0,,0
65,65,"Center and Whippo",,40.849186,-79.881459,,,0,,0
66,66,"Center and Morton Ave Ext",,40.84483,-79.881371,,,0,,0
67,67,"Sunnyview",,40.84699,-79.886865,,,0,,0
69,69,"McQuistion and Mechling",,40.845378,-79.888856,,,0,,0
7,7,"Penn and Bluff St.",,40.86513,-79.898972,,,0,,0
70,70,"Meadowood",,40.845283,-79.891753,,,0,,0
71,71,"McQuistion and Ritter Ave",,40.845223,-79.893402,,,0,,0
72,72,"Ritter and Rockenstein",,40.847366,-79.893533,,,0,,0
73,73,"Graham and Morton",,40.847894,-79.890421,,,0,,0
74,74,"Rockenstein and Morton",,40.847504,-79.890543,,,0,,0
75,75,"Morton and East Patterson",,40.85004,-79.890306,,,0,,0
76,76,"Morton and Cottage Hill",,40.85085,-79.890355,,,0,,0
77,77,"Morton and Fairview Avenue",,40.851507,-79.890622,,,0,,0
78,78,"Morton and Walker Ave",,40.852453,-79.891763,,,0,,0
79,79,"Morton and Freemont",,40.853075,-79.892654,,,0,,0
8,8,"Penn and Chestnut St.",,40.865132,-79.900465,,,0,,0
80,80,"Morton and Brugh",,40.853359,-79.895179,,,0,,0
85,85,"Wayne at Ford Lot and Post Office",,40.856984,-79.895081,,,0,,0
87,87,"Lafayette Apartments",,40.858543,-79.895418,,,0,,0
88,88,"Main and Wayne across post office",,40.856983,-79.895106,,,0,,0
89,89,"Cliffside Apartments",,40.857659,-79.89365,,,0,,0
9,9,"W. Brady at N. Chesnut on Rt5",,40.86346,-79.900449,,,0,,0
91,91,"Grapevine Center Shelter",,40.862072,-79.889161,,,0,,0
96,96,"Third St at E. Brady",,40.866742,-79.883281,,,0,,0
97,97,"Butler Memorial Hospital",,40.866881,-79.881723,,,0,,0
999,999,"Garage Butler Transit Authority",,40.852676,-79.909626,,,0,,0
